stop,city,slug,dates,venue,status,past,premium,img,desc
01,MÜNCHEN,munchen,06 — 08 · FEB 2026,MTC Halle,hidden,true,false,ref-1.png,"First stop. Munich showed us people come with empty bags and leave with two full ones. MTC Halle went off."
02,BERLIN,berlin,13 — 15 · MAR 2026,Kühlhaus Kreuzberg,hidden,true,true,ref-5.png,"Three days at Kühlhaus. Best DJs, 90s fits for €10, energy that doesn't need explaining."
03,HAMBURG,hamburg,10 — 12 · APR 2026,Oberhafen 1,hidden,true,false,ref-9.png,"Under the railway arches at Oberhafen. Biggest vintage haul of the tour so far."
04,AMSTERDAM,amsterdam,08 — 10 · MAY 2026,Westergas WUF,main,false,true,ref-14.png,"Westergas — Europe's most beautiful industrial park. Live techno, vintage market, specialty coffee. The premium drop everyone's talking about."
05,ROTTERDAM,rotterdam,05 — 07 · JUN 2026,HAKA Gebouw,secondary,false,false,ref-18.png,"The coolest city in the Netherlands. HAKA Gebouw is a concrete monster with brutal acoustics. Amsterdam's B-side — and the better one."
06,KÖLN,koln,03 — 05 · JUL 2026,Halle Tor 2,secondary,false,false,vintage-lover-girl.webp,"Cologne's underground goes its own way. Halle Tor 2: industrial, honest, no pretense. Summer starts here."
07,PARIS,paris,18 — 20 · JUL 2026,La Halle Parisienne,main,false,true,screenshot-ref2.png,"Paris already has a scene. We bring vintage that doesn't cost a kidney, and artists you'll know before everyone else."
08,LYON,lyon,24 — 26 · JUL 2026,Nef Gerland,secondary,false,false,sevenstore-look.webp,"France's food capital has a clubbing scene the rest of Europe sleeps on. We're about to fix that."
09,MADRID,madrid,14 — 16 · AGO 2026,Nave de Terneras,main,false,true,ref-1.png,"Madrid in August — right when nobody expects us. The Iberian premium drop. Best vintage market of the season."
10,BARCELONA,barcelona,21 — 23 · AGO 2026,Palo Alto Market,secondary,false,false,ref-5.png,"Post-Sónar, pre-autumn. Barcelona at its most relaxed and coolest. Palo Alto is vintage by nature."
11,LISBOA,lisboa,04 — 06 · SEP 2026,LX Factory,main,false,true,ref-9.png,"LX Factory — the converted plant at the heart of Lisbon's cultural scene. Premium drop southernmost of the season."
12,PORTO,porto,11 — 13 · SEP 2026,Palácio do Freixo,secondary,false,false,ref-14.png,"Porto keeps it real in everything. Freixo on the river with the AW drop just landed."
13,COPENHAGUE,copenhague,02 — 04 · OCT 2026,Refshaleøen,main,false,true,ref-18.png,"Scandinavia, finally. Copenhagen is the global capital of sustainable design — our kind of city. Refshaleøen, the island that changed the game."
14,MALMÖ,malmo,09 — 11 · OCT 2026,Inkonst,secondary,false,false,vintage-lover-girl.webp,"The other side of the Øresund bridge. Malmö has Sweden's most honest scene — no Stockholm prices, double the energy."
15,ESTOCOLMO,estocolmo,16 — 18 · OCT 2026,Eriksberg,secondary,false,false,ref-1.png,"We showed up. Eriksberg in autumn with the best Swedish DJs and the most necessary secondhand coat drop of the tour."
16,AMSTERDAM,amsterdam-2,30 OCT — 01 NOV 2026,NDSM Wharf,secondary,false,false,ref-5.png,"Second visit. Amsterdam on Halloween — costumes are vintage by definition. NDSM Wharf on the tour for the first time."
17,VIENA,viena,13 — 15 · NOV 2026,Marx Halle,main,false,true,ref-9.png,"Vienna is more underground than it looks. Marx Halle: 100 years of history. Premium drop at the heart of Central Europe."
18,PRAGA,praga,20 — 22 · NOV 2026,MeetFactory,secondary,false,false,ref-14.png,"MeetFactory — Cerný's converted factory. Prague has the most underrated art scene in Europe. Long overdue."
19,VARSOVIA,varsovia,27 — 29 · NOV 2026,Fabryka Norblin,secondary,false,false,screenshot-ref2.png,"Poland waited long enough. Fabryka Norblin is the most impressive rehabilitated industrial complex on the continent."
